Image,Compression tool,JPEG quality level,Filesize (B),Time to encode (s),Butteraugli index,VIF index,MSSIM index,Bitrate (bpp)
autumntrees,guetzli,84,306219,187.805,1.945435,0.76438,0.98085,1.558
culturalcentre,guetzli,84,230245,146.926,1.945273,0.77158,0.99164,0.88
dragon,guetzli,84,116243,35.701,1.945006,0.74854,0.9815,1.435
ducks,guetzli,84,253115,86.872,1.945317,0.77407,0.99484,1.287
face,guetzli,84,56207,34.035,1.945134,0.79278,0.9929,0.555
gradient,guetzli,84,13716,12.351,1.780306,0.54943,0.96978,0.229
lipsum,guetzli,84,88581,27.739,1.944211,0.8436,0.99307,1.885
nightshot,guetzli,84,207319,200.636,1.945427,0.75164,0.98907,0.899
plane,guetzli,84,146053,72.174,1.945337,0.79171,0.98646,1.158
poolballs,guetzli,84,184423,163.516,1.945336,0.70178,0.99043,0.516
randomimage,guetzli,84,85749,24.941,1.931807,0.54426,0.92646,3.35
rays,guetzli,84,397698,70.419,1.945372,0.81374,0.99842,2.209
sunset,guetzli,84,95345,97.183,1.945359,0.69665,0.98638,0.525
umbrella,guetzli,84,316436,162.606,1.945378,0.78442,0.98513,0.992
wintertrees,guetzli,84,211809,76.33,1.942129,0.75186,0.99137,1.616
autumntrees,jpegoptim,84,274912,0.365,2.683707,0.84037,0.98655,1.398
culturalcentre,jpegoptim,84,208061,0.36,2.658509,0.82909,0.99391,0.795
dragon,jpegoptim,84,123667,0.185,3.191387,0.91922,0.9867,1.527
ducks,jpegoptim,84,275208,0.342,2.293241,0.88679,0.99728,1.4
face,jpegoptim,84,47481,0.133,2.399873,0.83159,0.99337,0.469
gradient,jpegoptim,84,20071,0.099,1.056265,0.52968,0.99506,0.335
lipsum,jpegoptim,84,86683,0.14,2.379261,0.8945,0.99533,1.845
nightshot,jpegoptim,84,160551,0.273,2.455473,0.81916,0.98837,0.697
plane,jpegoptim,84,143285,0.362,2.193978,0.86204,0.99281,1.136
poolballs,jpegoptim,84,160978,0.364,2.191208,0.79924,0.9922,0.451
randomimage,jpegoptim,84,115365,0.197,2.335713,0.90404,0.96397,4.506
rays,jpegoptim,84,364811,0.441,2.65833,0.83355,0.99866,2.027
sunset,jpegoptim,84,98566,0.231,2.414558,0.77025,0.99026,0.543
umbrella,jpegoptim,84,333615,0.411,2.116598,0.90317,0.99017,1.046
wintertrees,jpegoptim,84,183602,0.288,2.618683,0.86188,0.99231,1.401
autumntrees,jpeg-recompress,84,285923,0.722,2.541371,0.85158,0.98703,1.454
culturalcentre,jpeg-recompress,84,214873,0.722,2.590746,0.83892,0.99408,0.821
dragon,jpeg-recompress,84,129258,0.383,3.215231,0.92739,0.98769,1.596
ducks,jpeg-recompress,84,284668,0.692,2.173797,0.89604,0.99747,1.448
face,jpeg-recompress,84,48759,0.372,2.401735,0.83741,0.99349,0.482
gradient,jpeg-recompress,84,20409,0.402,1.061671,0.53116,0.99507,0.34
lipsum,jpeg-recompress,84,89562,0.358,2.345792,0.90286,0.99551,1.906
nightshot,jpeg-recompress,84,165787,0.591,2.392561,0.82764,0.98863,0.719
plane,jpeg-recompress,84,148479,0.592,2.078432,0.87235,0.99309,1.177
